year,ak_plaice,ak_skate,anemones,arrowtooth,atka,bairdi,brittle_stars,capelin,corals,dover_sole,eelpouts,eulachon,fh_sole,gr_turbot,greenlings,halibut,hermits,herring,hybrid_chion,kamchatka,king_crabs,lg_sculpins,misc_crabs,misc_fish_shallow,misc_flats,nr_sole,octopus,opilio,oth_managed_forage,oth_pelagic_smelt,oth_sculpins,oth_skate,pcod,pollock,rex_sole,sablefish,salmon_returning,sandlance,scyphozoid_jellies,sea_pens,sea_stars,snails,sponges,urchins_dollars_cucs,urochordata,yf_sole
1982,698798.2262,71275.95098,56248.54489,118901.4354,5009.180426,194869.4741,1122403.671,877286.5497,18921.7873,,3111789.155,177540.0603,248876.4128,759331.9286,291.0553171,66699.60304,268403.0347,22133.28493,14218.85407,,168284.465,295095.4744,206464.9193,193887.8857,116447.1853,545763.4277,168726.9405,675845.3744,238036.6743,65008.81441,959716.6301,68135.40741,2520950.87,5429848.133,8348.213701,366208.4817,41781.81346,2643516.118,25683.96151,2184.448046,752763.5375,414548.3481,84488.10896,772520.8243,108039.9892,3348238.679
1983,638727.5772,76098.72637,52775.62825,172449.4285,56347.2181,87495.51014,890611.4889,686783.2297,973.5541305,,2497773.309,172617.2476,293487.742,344878.3535,342.9965532,85286.98721,239173.2754,692789.6319,893.4704133,13891.28028,83232.06512,254488.0855,98101.52978,224882.6522,75745.10769,672678.5536,42262.91361,453943.2445,59716.88818,31038.2563,687800.4381,52647.50036,2667216.921,10788389.75,10139.78086,899253.5558,38276.2726,746687.5061,47476.0671,2953.88682,630960.3537,325254.9336,111919.641,858541.5893,127229.2245,3416856.255
1984,756968.8636,152737.2079,77632.36864,272466.7848,70764.63479,66959.70392,1316103.655,903042.3048,2792.767142,,870334.072,369464.135,315399.1324,249788.7321,72.14808152,101163.2198,553049.5823,151863.584,2131.413295,16458.16847,160404.8464,219985.2676,164163.63,131474.6457,65376.96525,755258.9168,32072.38078,363144.556,78982.23352,14553.24232,662854.9957,7554.588283,2282638.082,8252332.09,18171.59723,480832.7153,65918.55899,1508885.2,68874.42207,9442.351827,626281.7098,512522.7333,39984.21375,575390.5309,177830.6524,3119029.226
1985,571001.7138,134222.5973,38425.32243,279418.7726,13073.81587,29994.50813,904062.3148,565589.6694,3586.914104,23.64875287,396364.5784,48922.14865,320013.4724,140618.9955,97.91346343,78497.19179,214582.4777,474811.2636,475.3426946,25.87124549,38638.15927,169368.9083,79469.18559,94476.49587,45170.90806,656074.7642,33292.97474,183134.009,117281.4694,14023.84278,208250.8097,7117.780877,2470628.693,10423186.35,14962.01264,947254.6891,15546.45827,394685.0611,74883.7321,4984.663839,480211.2382,200443.9852,31164.47119,345931.4526,79673.89435,2378388.223
1986,540900.8539,96556.90611,41824.5644,378401.3556,29399.21437,37686.62958,643017.9649,2267400.611,2399.621619,34.02404287,254176.9346,140655.4456,399737.8875,79255.14373,87.3560144,92531.53549,358068.999,73500.82711,486.5017767,,54676.47979,277542.3242,152415.612,93238.10711,46240.11183,967117.698,6209.55521,236359.9483,30345.00408,,276774.5604,99425.13093,2513240.36,8684249.625,17932.63092,829653.1134,34971.29214,957509.7242,63470.32027,9317.688306,460810.7746,227601.5532,118441.0784,763658.8845,120759.1124,1895161.72
1987,538467.7136,167406.4923,63118.51522,483822.9448,,86557.67449,1515195.661,316043.1947,7705.105476,183.1895932,728804.4294,90990.82819,443616.1762,183806.3205,116.3538219,92264.75451,721010.7589,80229.44246,3647.96373,34.77423588,75501.35637,174355.4924,211300.2307,172094.6467,77663.656,1202184.812,98911.85055,830014.957,57825.60691,1212.894351,298215.8391,112961.8894,2413432.581,10092737.28,17984.86992,139893.957,22218.3743,1268327.013,82353.2806,24173.7134,816389.0212,440992.0184,69358.86582,689717.6081,207802.777,2493249.267
1988,668546.7921,195511.4328,88087.71489,497296.9518,40111.65037,161747.7452,1776865.53,1018595.783,8348.272323,87.19578865,1263344.039,80875.76328,628384.2846,200253.3778,263.6804135,114696.0887,821070.7464,1373469.816,15127.30114,11075.68895,61594.38446,218021.5745,275268.5724,376677.4767,76468.51758,1405515.391,127453.5909,840378.5801,110262.4284,167135.8933,541952.5714,99826.5665,2192886.322,13008239.8,21455.90949,18208.27549,31637.56068,1623656.034,53181.95793,7416.575661,857213.8079,545368.8684,167958.4601,778146.3652,250976.0577,2175328.166
1989,504107.8497,399045.3565,89829.90025,580220.4966,7572.575812,189656.4657,1714396.244,192377.0083,4711.927853,,1677017.286,58633.34545,590955.7697,197063.201,660.3923845,87560.28245,849110.5597,71559.19033,2315.93356,13934.17648,73889.0997,196623.9784,270067.5918,263788.0388,81636.83948,1259139.722,64201.9688,944890.3438,384400.9453,,518328.8806,33329.56066,1954315.244,11795480.47,17953.16387,,,2118702.783,52458.4282,1381.34523,888935.2394,447086.2742,218422.1191,682954.3155,182090.2929,2301876.362
1990,485676.2711,419754.4894,57450.8923,683476.0268,51568.94037,227521.3074,2130064.113,1477175.288,8525.16109,106.2886308,1542355.808,103835.6542,672846.9658,243586.3044,1624.531012,92425.08234,918883.1709,39602.04313,4274.734648,26267.59222,86421.75885,218786.3795,369115.04,435102.6988,88505.25914,1313335.874,149708.5006,1019274.564,531634.5586,29298.38477,610705.9512,602.3242515,1647354.469,13294952.62,16500.97928,15927.16234,,1366118.389,89443.91447,4623.163626,938775.8666,527373.8478,45386.84148,540565.3992,163076.3655,2162533.064
1991,518340.0541,333330.3628,51116.88101,496493.3434,54635.64869,255477.1385,1521725.567,615043.7655,6467.159383,124.5681406,1168353.037,305472.0897,605270.9792,188214.4146,565.8779277,106440.8138,850022.0482,303901.4422,12380.47112,29584.4884,109051.76,252119.1032,332793.4754,562073.2246,109123.3352,1509240.326,103599.5345,1072532.763,523435.9837,253446.5017,516856.0409,48590.82211,1202743.626,9151473.211,22297.01316,17492.18513,78916.96738,1260164.801,159824.0413,7424.478043,1171266.399,396492.2477,27259.05148,564828.8623,164209.0011,2377664.082
1992,508157.1028,344122.232,60504.55628,588096.9962,39965.59326,193354.9482,1689856.733,1797550.457,5051.944478,312.4355545,1064929.239,144539.5293,706017.4091,429356.047,923.253289,105874.0083,700096.5671,83858.78533,7135.736304,35952.5738,59511.48015,216321.8307,311129.3686,339734.8338,85548.05777,1468927.275,72711.54591,696707.4265,1298968.24,40814.20457,935969.9143,587.2974376,1214229.55,8196958.154,19487.80299,15184.69225,35858.44495,1661157.776,246995.7767,1650.648738,980843.8719,390449.1568,77787.56913,428107.3839,159123.4083,2188663.765
1993,505405.672,337743.6102,53475.64542,764454.4283,6757.005845,110659.9442,1509934.224,7784189.16,4390.672751,84.57076401,1558358.193,115959.3428,687471.6939,535210.7076,894.4851708,175112.5221,715497.2015,1312564.079,796.8706333,32321.65611,88123.94596,202307.0725,215872.7337,365214.1018,82739.50259,1884769.464,20644.72209,739205.2029,2401506.773,22752.81165,387086.885,112.2553097,1504236.26,9630557.659,20259.03809,8150.466143,20355.68366,2757663.799,289336.3884,7162.087899,1045703.886,327067.3079,170411.6317,634404.0185,193169.8989,2452654.386
1994,612825.1059,352181.4981,43021.94871,807459.9012,20500.06634,83414.00059,1591799.138,574992.8498,7921.352674,166.345466,1470738.751,243908.4618,776356.1904,851223.9437,202.8024624,174923.3122,675190.6444,319937.4326,2230.169926,42291.90969,61974.30857,243645.6341,286490.2451,357048.0997,90855.419,2591388.692,29370.42229,708389.6182,380669.0214,13610.26348,485721.8748,111.3567533,3106546.971,9111243.201,22179.51036,,240000.0741,3891802.995,378160.2747,6381.362071,1019309.057,354471.7685,182553.1024,444798.313,214846.563,2583145.791
1995,542993.8546,313559.1019,66454.14262,770587.4536,97441.3992,68388.03408,1638764.873,953056.3492,7091.721609,,921220.1435,232910.9521,675522.9089,563143.2006,236.9303163,166625.671,689320.5782,495921.8965,784.4544882,22823.03155,79069.58966,203021.5395,291029.5853,212236.5463,58890.02509,2057808.078,37802.37984,770127.5371,89206.60565,15511.24859,250566.1723,178.3152219,2277954.542,9972718.897,14489.96137,,21448.77965,5259955.126,281122.6004,10632.80402,920813.2785,499855.8935,183647.9028,1032819.379,285989.5382,1998123.237
1996,519765.149,309777.3413,55443.54715,905737.6894,,56561.72611,1640214.495,120768.38,9794.79645,,1012033.275,183992.9485,707727.8965,609798.309,73.61465748,177624.1216,562575.7884,221180.4345,543.2206028,20034.43238,70700.41268,174382.6665,149668.0181,198110.0161,89334.1131,1946632.466,23479.01242,762714.9178,115934.2967,81375.65947,229698.2053,48705.22737,2047637.527,5510410.149,14645.69892,,442312.2634,1818420.936,365020.8017,10236.77659,884166.3558,364546.113,319690.5962,679183.1973,451967.8153,2197554.016
1997,624325.3779,299949.3219,55924.75798,781742.964,81645.80525,27471.02981,2174919.885,503573.1445,13878.56245,,800202.6825,339477.0542,899947.9072,523350.7613,100.6692435,151546.6565,763298.3819,328460.2361,357.0099257,15625.0389,96774.12088,197943.3725,193378.2189,303471.7853,106801.1619,2479067.66,3316.119653,670242.377,101257.939,67890.71249,383851.8048,50891.31844,1413135.644,6500676.366,11458.91622,2079.830536,,6544675.94,521177.8511,7932.509213,1321407.829,503318.4779,535791.1502,500493.0739,368028.0038,2146611.787
1998,447004.8473,312667.7156,54912.86503,587063.9236,35677.87125,28396.73047,2328660.683,136295.0991,10691.05131,92.47096729,1073966.84,213925.8785,793390.4932,523264.9358,170.8024269,177234.6918,604898.0112,142883.6905,497.5214097,19225.78693,102355.9888,179683.6943,153953.8398,202704.3064,100214.6311,2066811.692,16619.90774,432682.8974,627790.658,64529.18489,293299.6684,6734.417314,1234020.344,4825540.67,10562.01643,22540.87186,187389.6686,1658343.798,337553.9296,12427.10931,891488.8527,450341.6926,383491.8839,348837.9828,185345.5311,2197563.998
1999,470629.5972,283992.4721,23606.55961,415594.8603,82646.67594,36153.28891,2549859.244,576128.9183,3758.07771,35.9747753,601665.1457,89902.88197,451224.8796,321882.2347,222.6891349,141189.5794,475336.545,209609.2642,221.0520764,15166.09709,85585.85825,135719.8697,120335.2057,144255.3956,103638.2982,1553111.868,10870.62683,183383.0063,50143.80536,609.6583684,327801.4587,21263.39194,1392478.798,6943363.127,11079.72741,9739.59493,71803.93148,263852.7466,444122.0883,23245.33621,647207.3529,322078.2049,540008.5031,384649.3086,156089.7211,1247396.19
2000,435465.4201,271692.1898,43821.90554,542277.5101,4613.702614,39095.87568,2001213.11,730929.721,8019.184001,25.47976639,854613.105,210567.9055,452405.3459,351275.4381,132.9958058,128354.7414,634114.7393,289958.0157,262.6535115,17319.26688,65428.31963,149202.0524,136708.8674,148965.2682,88049.45114,1953116.545,26453.32479,309237.417,30115.18966,921.383198,265367.7929,17374.14784,1201732.85,9237642.007,12969.1607,,57006.78559,265062.614,793286.375,3233.561223,718353.3833,380327.6123,685931.5058,598752.3504,280307.3613,1568534.549
2001,535008.7866,358659.8778,32195.6635,642867.1762,37714.43396,56631.60925,2526427.873,470446.0425,2626.799478,37.40086921,1022593.401,193244.0716,591017.8081,407986.2034,87.66222759,152741.3688,516119.7616,448709.4213,1642.283347,24926.77143,74727.34942,132019.4509,116991.1601,180665.7014,91410.85289,2214128.841,76313.25104,419946.1725,372807.8306,898.4439114,181548.431,12481.38708,1853940.35,7642358.38,30151.53521,22610.74565,52563.09865,143552.8561,205116.2047,16326.85973,828230.8892,414110.3074,582948.8829,637946.915,272684.0483,1665168.688
2002,416459.4519,315302.6432,38546.68992,531689.434,217447.9981,50836.95018,2490439.19,410400.2772,7000.687093,15.91878738,699171.2458,218722.9689,640402.3781,358795.3349,376.4396738,110204.3339,750008.328,112118.5321,727.805696,18798.34245,78118.19277,161098.4408,91919.31728,220388.0024,98514.55285,1780986.206,32609.90858,203409.3839,533368.9924,,278800.5343,13328.22976,1345035.073,9012946.503,36187.34271,15845.51394,20361.80487,651494.8879,173024.7538,9854.241527,929621.177,370974.271,399591.9524,521158.2779,406808.3968,1892669.506
2003,451916.4288,322336.263,45310.50173,853592.8599,38280.18527,72955.73998,2479861.393,910657.9035,4686.366291,784.7292801,1204858.611,115161.5705,602393.4622,463013.7534,350.3227405,148354.1896,825805.1989,454605.9855,710.9849463,22292.98061,133457.7692,178017.5969,73639.07071,219827.272,88509.16424,1992673.84,97513.24557,252218.1891,2898669.747,365.4687097,202223.106,23271.40326,1409424.909,15294830.67,38307.20134,16135.96058,17672.8734,132481.707,127751.4758,38420.24823,913076.8636,500137.7557,328961.833,626057.5865,461706.4423,2132904.51
2004,471883.6989,368688.7297,51494.61028,884806.3444,277638.7043,66735.29643,2698804.523,1908222.086,6848.155944,71.2466757,1460156.402,142662.8123,713503.7637,423028.9555,1143.508903,140530.9437,736504.3304,823308.5354,551.3071917,23984.02671,131296.38,193324.638,108850.2461,241187.2409,138857.8948,2065929.836,64469.84019,298663.662,763418.6391,97248.93947,212678.2278,10544.88686,1304244.506,6990926.789,40135.36806,8041.682325,397358.6484,266846.1859,164836.0032,25624.7037,966886.3231,346462.1931,309842.5112,633830.9177,536061.0236,2512580.864
2005,496824.8906,422768.7408,52743.67776,1128273.147,519930.4179,117355.1489,2683601.422,194509.7361,4303.678547,359.2383559,1771632.637,78990.14364,725221.2848,318409.6045,534.661405,143559.823,731218.6001,1110258.993,448.1435814,37156.25175,113007.3979,206766.2045,159110.3908,276567.541,141335.5833,2006268.434,126380.0607,453404.2346,1126310.44,,433864.3188,14894.46569,1428141.333,8736234.321,32341.62059,63347.3604,100132.9199,329706.5922,183798.238,26787.03666,1065460.891,454881.0896,108634.3838,1483879.685,500298.9446,2798453.944
2006,624588.6522,379242.0222,69606.11401,1024878.867,159886.4572,169297.8751,2727228.581,857845.0326,1726.62722,203.3941471,1480766.135,92865.03626,727982.7316,313361.1094,310.7633927,169605.3117,587172.1601,259419.0491,559.9154534,48569.33929,93463.85013,189659.6262,295998.6964,244960.5815,170551.5992,2103006.4,23910.24091,311894.9054,134133.1201,38.17361545,394061.2639,13335.66529,1225650.711,5498294.179,30012.27381,2050.695007,169619.6575,439358.5027,96789.06834,50533.29622,1075757.4,368542.1312,115901.1685,1513693.455,498096.3496,2114584.445
2007,414812.0415,409682.8814,77339.89775,817339.989,124614.2112,163921.2704,2558314.921,150464.361,2444.767245,166.4254603,1054588.429,187884.377,646042.2403,249880.2033,187.2794757,157646.7528,530723.7904,254107.5629,6091.432797,51827.64115,101689.575,196662.9853,243673.6333,229431.3651,162254.9701,1932742.361,29134.38905,383785.1079,76643.86469,27040.73739,391466.6466,12347.56092,1017316.326,7820554.457,23680.82986,1911.80896,34641.83714,272278.2683,135673.1052,79741.53224,952903.4241,363730.0688,103007.6376,1659963.607,382294.325,2135600.808
2008,499374.7934,313555.1643,62299.99781,898343.6998,70567.26859,127656.3379,2631129.906,566382.9483,2133.966299,828.4451611,680410.5328,19021.89173,626418.2892,202042.1406,116.7990779,151762.984,490082.1848,746259.5434,5135.483452,46661.34403,113314.3952,188800.3178,304189.6405,462612.076,121920.1693,1937916.655,15158.33607,307325.3459,421273.4853,1588.039019,322348.2984,14004.00551,965989.7087,5496863.639,26152.47296,1301.702394,13403.77463,328810.0228,115744.0748,60119.93633,923331.5672,391758.9533,254559.4856,905359.8554,446131.5175,2083640.597
2009,519617.0647,303932.7614,72081.46127,685850.9297,108782.3419,88292.51787,2536612.272,637389.6855,1726.155704,1066.394007,522207.6646,50665.85521,483861.3115,164141.739,86.26909732,181891.8759,483161.8006,22269.82354,5272.269351,39493.74854,88169.80007,133761.0733,239659.756,180274.2313,107126.114,1472804.521,13245.0714,341648.4608,212985.7256,201.3753594,313882.9325,14522.85386,968036.0786,4146165.279,25252.49374,,171412.7518,156368.6836,369858.9117,22746.27527,873471.812,329147.4264,206068.1738,959408.803,432615.3076,1725840.475
2010,488714.9414,317990.7241,94050.68377,895195.2372,268020.5799,86894.876,3023694.577,1753775.991,2518.254738,457.4421236,826782.4508,224626.6955,568144.0675,350792.2978,22.94861863,214004.6532,502941.8339,311974.5799,7517.612979,46650.91154,80319.15539,154945.6382,248289.8633,334063.0553,120240.8846,1967235.561,10544.62388,587585.6486,48402.6486,205.2479625,375058.43,13563.81486,1971614.106,6801520.358,28284.72103,,64105.47153,1117787.248,409285.2114,28836.96924,932220.0285,381243.2111,245128.0104,1690361.087,519038.7084,2350397.44
2011,509780.3659,355620.544,116167.7591,887079.4803,16441.3139,106159.279,3315096.383,2178710.564,8454.277088,928.0642183,1120732.71,235806.4063,690592.7207,392481.7289,21.51171996,201548.7245,533982.7391,150087.0078,11698.13371,37172.17364,70117.37551,160679.833,218105.7216,234132.4065,104137.4633,1877682.995,46304.33774,630707.5208,18353.98823,425.9863373,321568.5793,12659.72601,2040563.453,5572649.207,25787.14655,,265968.8758,379082.5421,709251.4283,57398.85271,1008700.747,391007.0545,463281.931,1415297.373,395235.3309,2383834.88
2012,571365.5986,320795.1589,89316.79961,687281.8461,236421.7574,130665.4364,3154690.557,2762562.966,5682.978158,154.9658519,678770.4353,43721.33105,442098.1836,326896.9233,50.05742493,204250.2261,607029.5504,1552021.054,21433.4312,34214.18526,73792.36832,137255.7235,379633.7497,253210.5141,97385.74914,1829029.486,33727.93304,499545.0186,77585.01514,251.7191993,377000.4324,11945.03527,2019779.129,6299147.449,17831.21093,,38211.66,470073.4554,596006.9281,65076.39402,1008515.986,440752.0609,491195.661,2098058.449,437234.1051,1934891.219
2013,495920.2002,334897.5032,123284.181,688524.1172,19337.86922,156059.3741,3658634.559,3140214.68,9946.318385,60.82936473,675006.1661,54202.1735,564996.3242,373408.808,7.537422922,198936.4995,537978.2705,972646.9926,13912.5287,37150.85659,73895.67016,111093.1465,425181.8313,218363.207,89018.84829,1660605.221,23430.97773,435983.4393,25470.60236,,184732.4714,19211.33541,1833807.944,8362767.781,13595.3503,,38247.14766,1518318.562,463590.2462,40514.08815,868259.0358,430795.3594,748623.0094,1469694.24,486806.6117,2259843.81
2014,443331.4071,349814.2189,103106.4273,793993.164,202854.009,172227.458,3104217.782,1669403.906,10262.93553,1409.795559,999165.2792,234628.1318,581420.5461,420232.2615,96.22162526,184592.0145,503533.7037,79384.89256,16764.20517,46420.83677,140326.9955,144247.0346,278698.4561,257519.1175,154863.9068,1763470.793,30370.3715,535804.7845,45637.58364,157013.6253,198831.9201,17374.92318,2458522.281,13528410.56,18478.12657,1284.059141,89298.61487,740039.1776,423376.6313,31063.67296,901548.5378,442068.0343,535430.209,1139637.9,401878.1994,2493997.306
2015,349016.4171,387883.3421,93678.20836,697246.7875,1291605.334,118906.8023,3296148.193,2610899.534,10216.91434,12.43387117,1092204.338,75211.12807,447149.5159,379315.9052,83.64559298,185791.8435,488181.0882,196810.7511,8021.28723,48751.6484,88722.3219,151700.2521,230558.0475,243376.0849,98675.32335,1339882.963,67111.86586,331034.6369,6590.196807,32857.02652,234827.6011,27921.84099,2494601.76,11650386.57,13216.78557,3481.204391,59199.31919,1884050.505,379363.6466,35046.37519,945292.418,505264.5133,569043.249,1795463.622,322369.0371,1916904.391
2016,416343.6779,477050.9536,47083.05798,810592.2439,29431.72878,110211.0868,4406431.803,707710.0092,7096.006361,27.34657431,1383176.06,78612.79828,510367.7487,336877.9237,132.6963145,166075.7954,487039.6798,115080.8834,6578.745093,44488.78607,71677.57578,177225.3091,193400.9582,207087.9997,141119.3845,1383671.063,98297.56102,332761.9402,42613.29913,28558.50078,141124.5902,26306.94174,2215062.706,8946022.592,15466.13129,44655.56318,552532.89,747222.7465,87436.36635,40515.98338,1006117.001,534068.5434,166883.3992,1289782.938,280761.3975,2837807.638
2017,481130.1266,471479.0701,65114.42561,724722.924,461288.1193,90914.53146,4036803.853,275966.4062,4850.681801,,1256543.744,25781.62687,620505.9022,321623.0653,732.2436927,137098.3516,580933.597,535541.4463,5835.655246,38408.19317,52234.08976,154993.1567,262999.7389,158421.6555,257892.557,1268870.348,52380.59526,544303.0653,29886.70436,85975.18221,149556.01,46994.29003,1443841.137,8791839.521,16769.97274,101266.4557,165322.9542,171632.8899,90839.00568,7907.750334,1231314.253,717087.5141,200788.1348,1377421.767,366951.4248,2763825.679
2018,411267.2912,472978.4525,56201.17387,871573.5229,3674382.187,82544.86112,3910832.954,24433.28387,2063.846607,33.90599569,1076394.637,28773.41632,571207.0694,268639.9442,462.5148737,135535.1271,558840.4568,924082.5349,4675.111644,35367.03433,35708.79464,157668.1039,128786.5426,116324.802,123849.8781,998439.5897,68603.88995,1016784.836,27098.0302,9009.11757,84735.64589,45349.52351,1139170.843,5682554.632,28280.21642,273602.1378,80472.78193,100532.7007,250555.024,54040.09943,978222.1228,502711.5607,73764.03777,1734897.654,175540.2356,1878567.612
2019,360945.7419,424599.5866,55065.78882,984184.7923,18253.60719,54184.44747,3883083.275,40271.10707,3582.895066,325.0645426,969346.3905,85394.30243,715405.7902,239374.9821,291.0529912,122939.5088,575329.8042,700117.8174,3985.93246,35931.80626,37318.43104,207507.1241,104571.8301,112554.0215,108527.0763,928784.7226,77099.96819,584582.3921,81281.2377,11054.38023,99032.07902,26946.27634,1162075.182,9974595.692,41473.63103,299373.9836,402027.1117,57181.73329,557511.4159,11220.26004,1077918.597,573567.9863,84142.87001,1194263.352,125541.7684,1990427.413
2021,326894.4005,405728.4167,54808.53146,782384.8797,32317.93035,58916.80787,3818719.578,15602.68409,1011.639674,1078.829824,1033476.646,24772.43897,783920.7978,160918.1267,468.6258834,142584.8261,732526.5045,614891.38,1463.215297,26457.57267,39260.52662,124854.809,87038.3465,150177.9572,131883.1231,984079.2923,65321.90178,146663.8693,15718.81793,31035.91382,181157.1148,32387.4964,1385993.211,5503708.267,58638.88623,260729.4911,73214.3575,19981.71623,167093.3982,27619.43038,1197341.56,586603.4996,12500.47151,1092248.069,106524.3209,1610268.507
2022,376023.55,400937.7498,95567.06201,889890.7729,145435.3167,51703.1933,3058938.908,38606.95957,1423.114642,2005.005422,1247704.679,21260.79796,818568.552,118448.6649,215.9873745,160880.8287,883806.4404,2075390.03,1297.427498,23896.54913,48108.89368,142230.4062,94816.03494,155525.6564,157774.7207,1231360.474,64081.4066,140031.1081,61205.34058,1823.996044,117180.3228,32454.49819,1456123.998,7612139.564,58206.52274,271271.048,20600.00336,182990.4539,283833.9058,34115.93056,1228974.169,599787.0905,20442.89853,1507224.429,135924.9119,2008613.884
2023,350336.6839,363229.661,84153.59131,790814.9246,9766.448383,70325.80313,2842015.824,99457.77135,4102.352757,764.2261576,1513434.902,41189.29716,694906.1479,88108.60062,85.85594427,183567.9111,709715.302,497398.9896,3260.871278,20075.93493,46117.66009,108501.6169,95921.70411,126928.9076,125781.2386,1308482.32,32079.21208,120419.0773,31450.06619,,169502.3002,57127.91377,1484789.865,5746955.829,55001.51311,319897.1385,12397.58808,140112.1831,330568.8789,45599.36778,940105.4235,435270.6738,22261.81487,1166884.949,88927.28713,1371968.323
